ORGANISATION_ID,DATE_DAY,FIRST_PURCHASES,FIRST_PURCHASES_UNITS,FIRST_PURCHASES_ORIGINAL_PRICE,FIRST_PURCHASES_GROSS_DISCOUNT,ALL_PURCHASES,ALL_PURCHASES_UNITS,ALL_PURCHASES_ORIGINAL_PRICE,ALL_PURCHASES_GROSS_DISCOUNT,REVENUE,GOOGLE_PAID_SEARCH_SPEND,GOOGLE_SHOPPING_SPEND,GOOGLE_PMAX_SPEND,GOOGLE_DISPLAY_SPEND,GOOGLE_VIDEO_SPEND,GOOGLE_SPEND,META_FACEBOOK_SPEND,META_INSTAGRAM_SPEND,META_OTHER_SPEND,META_SPEND,TIKTOK_SPEND,GOOGLE_PAID_SEARCH_CLICKS,GOOGLE_SHOPPING_CLICKS,GOOGLE_PMAX_CLICKS,GOOGLE_DISPLAY_CLICKS,GOOGLE_VIDEO_CLICKS,META_FACEBOOK_CLICKS,META_INSTAGRAM_CLICKS,META_OTHER_CLICKS,TIKTOK_CLICKS,GOOGLE_PAID_SEARCH_IMPRESSIONS,GOOGLE_SHOPPING_IMPRESSIONS,GOOGLE_PMAX_IMPRESSIONS,GOOGLE_DISPLAY_IMPRESSIONS,GOOGLE_VIDEO_IMPRESSIONS,META_FACEBOOK_IMPRESSIONS,META_INSTAGRAM_IMPRESSIONS,META_OTHER_IMPRESSIONS,TIKTOK_IMPRESSIONS,DIRECT_CLICKS,BRANDED_SEARCH_CLICKS,ORGANIC_SEARCH_CLICKS,EMAIL_CLICKS,REFERRAL_CLICKS,ALL_OTHER_CLICKS
7569a6a9c156a0f9398fa6cfd51df5bb,15-10-2021,106,687,7737.67,556.16,166,1130,13774.25,1182.7,14228451.5,373.9,498.27,0,0,0,872.17,3865.19,0,0,0,161.08,566,1453,0,0,0,7664,0,0,496,4060,307044,0,0,0,271661,0,0,21646,819,0,1031,139,85,1464
7569a6a9c156a0f9398fa6cfd51df5bb,16-10-2021,89,607,7432.82,497.85,152,1303,14476.35,1432.47,16996175.64,459.38,914.23,0,0,0,1373.61,3735.84,0,0,3735.84,162.08,546,3339,0,0,0,7978,0,0,587,4788,691289,0,0,0,268930,0,0,25075,805,0,1315,179,108,1371
7569a6a9c156a0f9398fa6cfd51df5bb,17-10-2021,95,642,7096.83,507.32,158,1363,14535.91,1058.02,18370364.07,379.79,782.7,0,0,299.94,1462.43,3869.36,0,0,3869.36,161.49,405,2672,0,0,111,8196,0,0,634,4563,450178,0,0,18827,312475,0,0,27301,827,0,1461,174,108,1303
7569a6a9c156a0f9398fa6cfd51df5bb,18-10-2021,99,987,7797.29,468.42,214,4231,21047.97,2080.38,80251873.29,567.69,684.46,0,0,242.69,1494.84,3799.85,0,0,3799.85,153.48,609,2204,0,0,58,6785,0,0,423,4773,330000,0,0,9971,320213,0,0,19206,228,0,298,52,49,490
7569a6a9c156a0f9398fa6cfd51df5bb,19-10-2021,67,937,5795.02,231.43,156,3599,15664.25,1117.89,52352349.64,495.35,658.03,0,0,0,1153.38,2891.18,0,0,2891.18,125.79,522,1785,0,0,0,3231,0,0,273,4748,274550,0,0,0,191976,0,0,13691,0,0,0,0,0,0
7569a6a9c156a0f9398fa6cfd51df5bb,20-10-2021,78,843,6799.46,366.73,132,2112,13566.43,1059.3,26415058.56,506.45,734.97,0,0,0,1241.42,3282.65,0,0,3282.65,143.04,644,1116,0,0,0,3592,0,0,389,6889,166353,0,0,0,207508,0,0,19114,0,0,0,0,0,0
7569a6a9c156a0f9398fa6cfd51df5bb,21-10-2021,73,907,6908.41,570.28,127,1908,12931.54,1126.09,22524798.6,505.25,698.82,0,0,0,1204.07,3465.5,0,0,3465.5,145.19,651,1676,0,0,0,4140,0,0,370,7841,255574,0,0,0,225659,0,0,19370,0,0,0,0,0,0
7569a6a9c156a0f9398fa6cfd51df5bb,22-10-2021,84,890,7054.83,703.88,130,1506,11226.08,1148.58,15176715,414.41,519.91,0,0,0,934.32,3309.89,0,0,3309.89,143.96,532,1212,0,0,0,5600,0,0,411,5883,210820,0,0,0,239217,0,0,21360,0,0,0,0,0,0
7569a6a9c156a0f9398fa6cfd51df5bb,23-10-2021,71,779,5564.95,286.89,111,1256,9666.65,683.71,11282572.64,391.62,346.38,0,0,0,738,3175.42,0,0,3175.42,160.36,597,1014,0,0,0,5378,0,0,457,5905,163667,0,0,0,223256,0,0,24794,0,0,0,0,0,0
7569a6a9c156a0f9398fa6cfd51df5bb,24-10-2021,71,471,4414.92,279.46,114,1273,9777.54,857.4,11355338.22,441.31,366.3,0,0,0,807.61,3279.53,0,0,3279.53,160.58,628,1110,0,0,0,5759,0,0,509,7032,152941,0,0,0,244801,0,0,27462,0,0,0,0,0,0
